,A,B,C,D,E,F
2862,4,14,5,13,16,24
2863,18,15,11,17,13,16
2864,15,2,7,19,4,23
2865,8,2,17,19,4,1
2866,17,16,3,24,15,4
2867,9,12,3,15,17,22
2868,15,20,1,12,8,4
2869,5,15,20,19,22,11
2870,22,23,7,16,6,11
2871,15,1,23,20,16,22
2872,24,2,18,10,11,9
2873,18,17,5,24,13,16
2874,20,2,3,17,4,11
2875,4,23,10,21,1,2
2876,17,24,12,21,22,15
2877,3,12,21,20,11,17
2878,24,1,14,6,17,18
2879,8,24,19,6,13,18
2880,8,11,1,17,24,14
2881,8,3,9,20,16,11
2882,4,15,22,24,7,11
2883,14,21,13,24,20,17
2884,14,6,2,22,19,13
2885,1,8,12,14,16,20
2886,17,4,15,8,12,21
2887,6,13,16,15,11,18
2888,17,6,14,3,11,16
2889,24,5,7,4,15,13
2890,24,20,16,23,14,18
2891,17,10,4,20,19,13
2892,6,12,22,2,13,23
2893,18,7,2,9,14,23
2894,14,23,24,13,3,20
2895,17,5,4,7,13,10
2896,17,15,2,16,4,1
2897,20,15,16,7,4,14
2898,20,15,7,16,3,19
2899,4,12,16,6,2,20
2900,8,4,9,17,5,20
2901,20,12,7,11,5,21
2902,7,10,23,19,13,16
2903,20,19,11,17,8,6
2904,14,6,8,18,3,12
2905,21,10,13,2,3,11
2906,16,22,23,13,5,2
2907,22,3,8,14,21,13
2908,9,24,15,22,7,20
2909,1,9,3,8,23,7
2910,13,6,16,15,7,20
2911,15,13,17,7,21,4
2912,20,1,11,19,14,23
2913,7,24,22,12,18,10
2914,18,8,24,12,1,9
2915,2,15,24,17,9,13
2916,10,16,23,24,22,4
2917,23,13,10,6,19,15
2918,7,22,12,9,8,6
2919,20,2,16,9,21,10
2920,21,4,19,24,1,20
2921,3,2,8,23,5,12
2922,7,3,21,9,24,17
2923,9,5,20,22,10,15
2924,22,2,18,3,17,9
2925,10,8,7,13,24,3
2926,20,13,3,19,21,15
2927,6,8,13,10,9,7
2928,11,18,9,7,21,13
2929,23,10,4,18,12,5
2930,1,5,23,14,21,20
2931,20,19,23,5,15,2
2932,15,14,21,5,1,9
2933,6,21,22,4,19,24
2934,22,15,18,9,10,5
2935,10,16,21,12,5,11
2936,23,11,6,20,24,14
2937,14,4,1,24,5,7
2938,24,10,9,17,18,20
2939,8,18,14,19,3,15
2940,18,16,3,5,21,22
2941,9,17,16,1,13,3
2942,21,5,8,14,12,19
2943,19,9,15,2,11,16
2944,6,7,22,20,17,4
2945,17,2,8,21,23,20
2946,7,9,12,13,6,23
2947,21,2,3,13,23,22
2948,21,8,3,2,13,23
2949,4,12,19,22,14,1
2950,14,22,24,21,19,8
2951,4,15,14,18,9,20
2952,16,11,6,19,4,14
2953,17,6,2,11,24,5
2954,7,10,13,2,9,18
2955,9,1,21,14,2,12
2956,22,21,19,4,6,9
2957,10,23,22,11,19,5
2958,19,17,22,2,10,18
2959,9,8,18,19,22,11
2960,24,2,12,16,21,6
2961,15,18,2,21,13,23
2962,15,4,8,22,14,11
2963,4,7,9,23,6,15
2964,22,12,18,6,1,20
2965,13,3,6,8,2,1
2966,8,17,21,19,9,10
2967,3,8,17,2,14,22
2968,24,23,21,8,6,16
2969,11,8,16,20,5,3
2970,8,13,21,17,10,18
2971,17,23,24,21,10,16
2972,24,12,15,21,2,8
2973,6,19,16,15,11,2
2974,3,13,23,18,4,12
2975,13,10,17,20,4,19
2976,14,17,22,19,24,9
2977,1,15,17,22,10,8
2978,23,17,16,11,3,19
2979,24,17,21,14,15,22
2980,16,17,2,3,15,6
2981,13,11,23,14,15,18
2982,18,24,5,3,11,8
2983,21,4,12,1,16,5
2984,17,21,1,9,8,11
2985,2,10,21,14,5,22
2986,24,5,13,16,9,8
2987,3,10,12,15,1,18
2988,13,20,3,24,16,22
2989,12,3,1,10,5,6
2990,12,14,8,21,1,9
2991,20,12,24,7,17,8
2992,1,13,12,17,9,7
2993,6,11,14,12,15,2
2994,3,11,7,5,19,24
2995,12,22,23,13,19,4
2996,21,22,10,14,13,4
2997,18,5,2,22,11,23
2998,13,16,15,20,22,2
2999,8,1,9,20,10,14
3000,18,24,10,12,9,4
3001,19,16,11,2,9,3
3002,7,10,14,8,16,18
3003,21,12,4,6,16,3
3004,6,16,11,3,17,13
3005,14,3,15,18,10,9
3006,5,14,20,21,9,13
3007,22,12,1,8,19,15
3008,14,24,8,22,4,9
3009,16,12,11,9,19,21
3010,2,23,20,4,19,5
3011,13,2,14,7,19,15
3012,13,20,17,19,12,11
3013,7,22,8,21,16,4
3014,15,13,4,14,3,2
3015,19,22,11,20,9,17
3016,22,8,19,13,11,16
3017,22,17,19,13,3,18
3018,14,24,8,17,7,2
3019,6,20,3,12,5,11
3020,22,8,7,24,9,13
3021,9,11,22,19,14,1
3022,24,13,7,20,15,9
3023,23,8,17,6,2,1
3024,1,22,19,17,14,15
3025,9,12,21,11,24,8
3026,16,14,10,13,22,12
3027,9,3,19,17,22,4
3028,10,12,16,9,21,20
3029,6,18,11,9,2,23
3030,6,24,5,2,1,18
3031,23,18,15,21,24,22
3032,12,4,15,17,2,22
3033,16,10,12,9,6,14
3034,16,17,22,14,5,24
3035,14,24,10,20,6,4
3036,10,20,5,7,24,11
3037,18,24,22,17,16,10
3038,2,22,4,24,8,17
3039,24,12,1,13,4,8
3040,7,6,11,15,13,12
3041,4,17,9,12,16,10
3042,21,12,10,2,14,22
3043,8,11,6,3,7,18
3044,6,24,14,10,4,18
3045,24,17,9,14,4,21
3046,2,4,17,11,12,18
3047,11,7,16,1,3,17
3048,24,11,21,2,6,12
3049,21,16,23,24,2,19
3050,13,14,21,6,12,24
3051,2,6,13,3,21,11
3052,7,8,10,18,22,14
3053,14,12,19,22,13,15
3054,7,1,23,19,15,3
3055,11,21,23,22,2,5
3056,17,1,12,19,22,13
3057,7,20,14,5,6,17
3058,19,2,11,14,24,12
3059,21,18,22,14,16,2
3060,2,12,17,13,3,11
3061,2,11,7,3,18,22
3062,24,7,17,11,20,4
3063,13,21,17,16,15,14
3064,8,6,14,20,4,3
3065,20,13,16,1,15,12
3066,15,13,14,16,1,22
3067,23,13,4,12,11,7
3068,17,8,18,5,14,19
3069,1,17,22,11,9,8
3070,6,7,4,15,19,12
3071,8,20,15,11,6,21
3072,20,1,7,16,17,6
3073,6,9,10,16,7,3
3074,18,6,4,10,11,17
3075,4,8,1,14,18,16
3076,13,21,16,10,9,11
3077,15,23,9,24,12,6
3078,9,12,10,2,21,24
3079,11,15,8,18,22,2
3080,2,13,23,17,24,4
3081,19,11,10,21,20,7
3082,2,21,17,16,8,7
3083,2,9,5,17,14,3
3084,5,8,23,10,24,4
3085,22,21,11,16,8,10
3086,9,12,21,4,20,2
3087,17,12,16,18,4,19
3088,14,3,10,20,11,24
3089,1,12,8,17,16,13
3090,12,2,22,24,11,16
3091,2,22,8,10,23,5
3092,17,20,1,13,8,3
3093,17,8,15,20,13,2
3094,14,5,17,23,10,7
3095,16,1,22,9,18,20
3096,10,23,3,12,4,1
3097,9,18,19,2,12,4
3098,1,3,8,17,19,11
3099,24,11,20,1,2,5
3100,9,15,3,4,5,11
3101,8,19,1,4,12,21
3102,21,17,15,5,6,10
3103,2,16,1,20,9,22
3104,14,17,8,11,15,5
3105,8,24,15,16,9,4
3106,11,4,18,22,17,10
3107,15,1,9,8,19,23
3108,3,7,15,20,24,22
3109,15,11,19,2,21,20
3110,19,24,6,2,3,8
3111,13,11,16,8,15,10
3112,2,4,24,14,11,15
3113,3,7,12,10,23,13
3114,3,14,23,9,16,22
3115,9,15,24,23,3,20
3116,17,18,5,20,6,9
3117,6,17,8,23,19,18
3118,8,11,4,18,6,13
3119,4,20,21,12,23,17
3120,14,23,16,1,17,19
3121,22,15,24,4,9,8
3122,23,18,16,21,8,2
3123,18,16,5,21,17,11
3124,18,2,19,10,1,17
3125,12,20,11,10,24,18
3126,19,12,23,1,15,20
3127,9,16,17,11,20,2
3128,20,11,15,23,18,10
3129,10,11,9,17,21,5
3130,20,19,17,3,6,5
3131,10,8,16,20,4,6
3132,11,13,15,1,12,9
3133,7,19,10,12,5,21
3134,19,6,9,10,4,12
3135,19,23,12,16,9,13
3136,24,15,19,1,10,13
3137,8,13,22,14,7,4
3138,9,18,21,6,12,10
3139,15,9,11,7,18,17
3140,6,10,9,13,15,16
3141,7,18,12,10,23,21
3142,1,12,9,21,3,22
3143,20,15,18,4,17,19
3144,3,9,15,23,17,12
3145,23,12,22,19,20,3
3146,7,6,2,19,12,1
3147,24,8,6,4,16,14
3148,6,5,10,1,15,17
3149,21,13,11,5,12,19
3150,20,3,6,17,21,12
3151,15,12,8,1,4,6
3152,20,21,14,15,3,18
3153,16,18,14,7,6,19
3154,1,12,13,5,18,20
3155,15,16,6,17,9,3
3156,10,1,23,24,20,22
3157,6,16,19,15,11,12
3158,20,22,18,19,2,17
3159,13,23,8,20,21,7
3160,23,16,3,20,8,21
3161,9,11,1,14,13,8
3162,23,22,3,16,21,20
3163,9,23,12,24,18,11
3164,19,21,11,15,6,9
3165,8,21,10,20,3,13
3166,24,16,22,1,4,7
3167,2,24,17,5,23,3
3168,5,17,10,21,1,23
3169,16,14,23,2,11,21
3170,4,19,2,21,9,24
3171,11,9,10,1,7,16
3172,9,5,8,11,22,15
3173,13,9,11,24,23,17
3174,3,20,21,15,12,8
3175,5,16,22,7,9,6
3176,18,21,20,16,8,12
3177,4,19,20,11,21,18
3178,14,16,11,19,2,1
3179,6,8,1,13,18,11
3180,5,17,10,19,9,11
3181,13,5,19,15,21,6
3182,22,11,16,1,9,3
3183,18,2,11,16,9,24
3184,18,10,15,4,1,19
3185,24,3,17,2,11,15
3186,12,21,15,9,7,24
3187,10,1,16,24,4,8
3188,21,1,16,15,18,7
3189,8,11,20,5,19,10
3190,19,17,15,22,2,3
3191,6,7,11,19,2,10
3192,16,18,17,3,22,19
3193,16,14,7,21,10,4
3194,24,14,9,13,20,17
3195,14,16,9,4,19,5
3196,23,12,7,22,6,2
3197,16,6,15,3,1,20
3198,14,16,21,23,13,9
3199,6,5,9,22,17,19
3200,13,4,7,5,1,3
3201,1,3,7,22,5,13
3202,9,24,23,3,10,14
3203,24,10,2,17,4,20
3204,23,10,2,11,21,19
3205,22,14,24,15,9,6
3206,13,15,17,11,23,10
3207,12,1,18,11,14,16
3208,18,16,1,8,12,4
3209,8,16,17,12,4,6
3210,11,15,14,17,18,24
3211,22,12,4,14,1,19
3212,10,23,6,7,11,1
3213,6,21,17,22,16,19
3214,8,24,17,4,22,12
3215,10,23,16,8,19,3
3216,9,21,7,5,2,17
3217,4,15,14,12,11,19
3218,13,16,12,19,2,24
3219,17,13,4,1,3,15
3220,4,18,5,17,16,19
3221,23,18,7,3,19,17
3222,12,19,2,13,10,7
3223,21,5,23,24,11,19
3224,1,7,6,24,14,4
3225,15,8,20,19,23,2
3226,12,6,20,11,3,15
3227,22,20,11,9,13,16
3228,9,19,6,23,7,10
3229,18,10,1,17,7,5
3230,12,11,21,2,24,16
3231,9,21,1,3,10,11
3232,4,2,13,16,10,20
3233,15,24,8,21,16,18
3234,4,19,10,24,16,18
3235,10,3,9,11,8,12
3236,15,24,16,19,17,22
3237,1,13,22,15,11,24
3238,1,2,16,17,3,10
3239,6,9,19,21,8,15
3240,13,24,11,9,5,14
3241,19,9,4,7,20,8
3242,6,2,24,10,14,17
3243,24,12,16,13,5,15
3244,6,11,23,13,7,5
3245,8,9,21,15,3,4
3246,13,10,11,15,6,1
3247,21,17,13,5,16,6
3248,6,18,4,22,17,14
3249,10,11,12,18,2,6
3250,4,23,20,10,24,22
3251,13,21,18,24,4,7
3252,12,22,18,9,23,13
3253,4,22,6,14,7,17
3254,12,23,16,3,6,22
3255,13,2,5,16,21,14
3256,18,23,5,21,9,13
3257,4,15,17,14,10,3
3258,3,24,22,8,1,16
3259,24,15,8,7,21,23
3260,14,8,23,18,2,12
3261,24,8,6,22,3,18
3262,14,2,10,7,15,17
3263,10,17,7,13,4,15
3264,22,6,7,1,5,19
3265,1,7,9,18,5,12
3266,14,22,9,2,18,23
3267,24,2,1,21,14,18
3268,10,1,4,9,7,3
3269,14,1,23,3,4,13
3270,19,5,21,10,18,14
3271,12,21,8,24,2,16
3272,20,13,6,16,2,9
3273,1,17,8,12,5,9
3274,12,1,7,18,22,9
3275,13,11,22,16,14,1
3276,19,10,6,1,21,4
3277,13,8,24,7,1,12
3278,7,13,11,17,20,9
3279,4,22,16,7,21,11
3280,6,23,13,3,15,1
3281,19,4,5,6,15,7
3282,19,14,12,1,17,13
3283,14,11,2,23,12,20
3284,20,3,23,9,6,4
3285,9,12,18,1,4,15
3286,14,9,4,15,16,12
3287,11,14,24,22,8,5
3288,11,21,16,1,17,20
3289,15,1,8,24,3,10
3290,17,24,5,23,18,2
3291,6,24,16,2,10,3
3292,3,10,23,24,1,5
3293,5,4,8,20,2,23
3294,1,24,2,8,16,23
3295,18,12,6,10,1,23
3296,17,10,24,15,20,5
3297,6,23,10,4,7,11
3298,24,17,23,18,2,12
3299,9,13,2,19,3,22
3300,11,24,20,5,2,13
3301,22,3,8,10,19,11
3302,6,14,5,9,20,8
3303,13,12,18,2,7,1
3304,17,8,12,21,13,19
3305,5,9,7,17,11,6
3306,24,6,5,13,20,10
3307,4,6,12,8,2,9
3308,2,11,21,9,23,16
3309,1,9,16,7,19,3
3310,19,23,4,8,12,24
3311,20,12,5,24,11,22
3312,16,19,11,14,8,23
3313,6,18,2,8,12,3
3314,14,21,1,4,2,22
3315,8,7,1,20,22,16
3316,10,2,23,8,4,6
3317,20,4,16,8,12,9
3318,5,22,15,8,3,17
3319,19,13,1,17,18,7
3320,22,7,20,1,18,9
3321,17,14,2,1,9,6
3322,12,13,14,20,8,16
3323,8,3,13,17,22,16
3324,20,22,18,1,23,13
3325,20,18,4,9,2,11
3326,19,8,12,1,20,9
3327,4,8,24,3,12,6
3328,24,3,15,18,13,2
3329,16,15,4,22,13,7
3330,17,21,1,6,16,8
3331,12,14,15,2,23,22
3332,17,3,22,18,10,24
3333,23,12,24,19,20,6
3334,11,4,22,9,10,15
3335,12,2,15,24,22,18
3336,15,24,16,18,1,11
3337,18,4,1,15,21,17
3338,7,15,13,17,4,6
3339,6,4,14,5,7,16
3340,9,13,7,19,14,4
3341,8,12,23,21,10,20
3342,10,5,21,17,19,14
3343,15,2,7,6,13,19
3344,9,21,5,7,13,17
3345,18,5,8,2,1,20
3346,12,6,10,20,13,11
3347,20,3,17,19,7,12
3348,23,18,16,14,5,4
3349,23,15,5,19,12,18
3350,17,23,19,14,9,10
3351,19,5,22,15,17,10
3352,12,10,2,8,4,20
3353,1,7,9,20,14,8
3354,1,13,22,6,24,23
3355,4,11,8,20,17,5
3356,24,20,3,23,1,4
3357,4,6,23,11,13,21
3358,24,8,4,10,7,1
3359,10,7,17,19,21,24
3360,4,15,20,5,3,6
3361,10,2,20,21,17,8
3362,19,5,7,23,12,11
3363,23,19,12,24,4,20
3364,12,22,21,24,3,4
3365,1,21,8,7,13,4
3366,18,21,2,17,7,14
3367,16,21,20,8,3,1
3368,17,6,12,19,10,15
3369,5,18,17,23,8,19
3370,12,7,18,8,17,2
3371,6,22,8,18,3,12
3372,18,17,4,19,15,12
3373,4,10,21,18,24,20
3374,7,1,10,6,22,19
3375,22,7,5,9,13,3
3376,4,24,1,10,12,21
3377,1,16,5,2,17,15
3378,15,1,3,18,14,20
3379,4,9,17,23,6,5
3380,2,18,10,24,19,11
3381,16,21,11,24,8,22
3382,10,13,18,8,4,23
3383,20,4,8,6,10,12
3384,17,21,16,6,12,18
3385,15,19,21,22,1,7
3386,11,12,8,6,4,21
3387,4,21,20,18,13,9
3388,24,13,11,7,10,12
3389,2,23,24,1,16,14
3390,6,17,18,14,20,7
3391,18,6,13,20,19,17
3392,5,23,4,17,1,6
3393,7,22,20,10,13,2
3394,9,12,7,6,24,22
3395,6,23,13,19,3,24
3396,1,10,3,2,9,22
3397,9,19,10,7,12,6
3398,11,14,1,17,6,15
3399,24,17,9,15,18,3
3400,19,8,15,21,2,1
3401,14,20,4,16,11,2
3402,2,21,6,16,19,14
3403,18,16,3,17,1,24
3404,16,14,18,15,21,8
3405,22,12,10,11,2,3
3406,10,9,21,22,14,11
3407,10,11,24,21,9,1
3408,4,8,24,15,20,11
3409,7,15,6,5,24,20
3410,15,2,8,16,6,10
3411,11,4,14,22,13,21
3412,22,14,18,15,2,4
3413,19,23,17,2,1,20
3414,17,4,22,7,24,14
3415,12,17,5,2,9,7
3416,23,11,9,2,21,5
3417,20,11,22,14,21,15
3418,22,1,8,15,24,9
3419,18,4,10,5,3,23
3420,18,13,1,8,23,9
3421,21,9,17,19,24,20
3422,6,12,2,7,13,22
3423,18,23,11,17,3,22
3424,12,18,3,8,16,21
3425,6,21,13,3,9,23
3426,20,2,19,18,8,23
3427,19,14,24,6,16,3
3428,5,1,10,8,24,3
3429,3,12,18,20,21,16
3430,3,24,9,14,13,22
3431,10,21,8,24,2,7
3432,21,14,15,7,23,11
3433,8,9,21,16,24,11
3434,13,9,15,16,12,5
3435,6,3,21,17,16,8
3436,15,9,19,16,24,7
3437,19,23,6,24,13,7
3438,11,12,10,22,1,18
3439,10,15,22,16,21,11
3440,17,9,2,16,24,4
3441,22,16,24,1,10,6
3442,15,1,5,17,4,12
3443,2,4,9,11,1,7
3444,18,11,22,14,7,20
3445,1,22,4,11,5,19
3446,14,23,9,15,20,21
3447,7,21,15,2,18,24
3448,19,20,2,14,1,3
3449,2,20,8,16,7,17
3450,3,11,24,10,20,13
3451,23,13,24,12,10,17
3452,7,21,16,18,3,23
3453,17,2,22,16,11,20
3454,22,13,9,23,11,24
3455,15,17,9,23,21,16
3456,3,16,1,10,8,24
3457,11,20,12,21,3,15
3458,18,14,9,17,16,7
3459,24,13,16,3,10,20
3460,14,24,3,12,10,6
3461,9,12,10,22,20,21
3462,11,16,18,23,7,10
3463,23,21,14,22,16,4
3464,14,10,21,6,22,2
3465,1,11,4,20,8,19
3466,13,19,4,24,1,21
3467,7,13,9,4,16,24
3468,18,19,5,7,4,24
3469,24,17,9,4,19,7
3470,9,23,2,3,21,22
3471,18,8,13,24,17,4
3472,4,1,19,20,7,10
3473,12,9,18,6,11,7
3474,16,21,1,3,14,5
3475,20,7,5,18,22,3
3476,23,24,21,7,14,18
3477,23,6,7,19,13,1
3478,20,22,7,24,21,18
3479,20,8,19,18,24,4
3480,2,19,21,3,5,8
3481,2,8,16,22,17,7
3482,1,13,2,6,22,3
3483,6,12,5,23,11,13
3484,15,20,16,23,7,18
3485,14,2,10,4,6,11
3486,15,17,11,9,4,18
3487,22,24,14,16,17,11
3488,9,15,3,6,18,24
3489,15,1,21,24,12,17
3490,14,19,13,22,20,1
3491,4,8,3,17,5,20
3492,11,15,16,3,22,10
3493,7,5,16,6,18,2
3494,20,13,19,14,7,11
3495,7,11,23,16,24,19
3496,4,18,15,21,19,24
3497,19,22,24,10,21,7
3498,7,18,1,15,16,10
3499,20,6,5,8,9,21
3500,22,12,1,5,19,13
3501,24,13,1,23,7,10
3502,20,21,11,6,17,16
3503,8,13,23,14,16,15
3504,15,4,17,14,7,18
3505,16,17,19,8,10,6
3506,23,14,1,12,9,5
3507,2,8,10,24,19,4
3508,14,2,15,8,3,6
3509,10,1,19,15,6,9
3510,14,21,1,17,22,13
3511,17,24,3,19,14,21
3512,2,15,22,6,17,5
3513,15,23,3,21,19,11
3514,24,6,17,15,21,19
3515,11,8,12,19,4,7
3516,15,19,20,6,18,13
3517,15,20,19,1,14,5
3518,1,9,20,7,16,13
3519,13,21,16,4,3,15
3520,4,2,13,16,22,8
3521,24,18,6,4,2,7
3522,15,3,1,12,11,14
3523,14,4,22,8,21,5
3524,6,19,8,10,7,1
3525,15,9,6,11,1,3
3526,1,6,16,19,4,22
3527,5,24,12,10,17,20
3528,2,15,7,6,5,13
3529,19,21,1,18,10,7
3530,22,16,23,12,1,19
3531,4,9,14,3,1,2
3532,20,2,7,14,15,6
3533,17,18,11,24,5,8
3534,12,8,9,6,17,18
3535,9,16,3,24,11,19
3536,1,3,20,2,15,9
3537,5,6,22,20,4,17
3538,9,5,21,3,14,7
3539,18,24,15,17,22,3
3540,1,2,19,10,12,7
3541,15,21,13,16,1,24
3542,1,19,21,23,6,7
3543,2,11,24,17,1,7
3544,13,22,18,21,20,10
3545,15,19,23,8,6,16
3546,13,6,10,16,20,9
3547,11,6,5,7,9,10
3548,6,14,17,21,24,1
3549,16,21,23,5,12,22
3550,17,11,4,3,18,6
3551,9,18,10,1,21,6
3552,5,8,16,11,3,14
3553,14,17,10,8,24,16
3554,19,5,12,2,23,14
3555,12,3,18,5,2,13
3556,12,18,19,20,16,5
3557,20,4,11,12,5,2
3558,24,5,20,12,16,14
3559,22,16,17,5,11,23
3560,7,17,4,12,3,15
3561,1,19,2,18,22,21
3562,6,22,9,24,10,8
3563,4,18,22,12,10,13
3564,12,1,6,9,4,10
3565,1,23,2,16,18,12
3566,3,23,2,14,1,11
3567,9,7,24,12,4,18
3568,19,1,16,20,17,2
3569,20,2,14,18,4,21
3570,6,19,11,17,21,20
3571,2,12,14,10,18,17
3572,14,10,1,17,4,16
3573,8,18,21,19,17,20
3574,21,24,7,15,10,17
3575,1,20,18,5,15,16
3576,21,13,24,16,22,10
3577,19,23,1,9,15,2
3578,18,10,1,2,14,12
3579,14,19,23,11,12,4
3580,24,16,18,6,2,8
3581,17,22,9,8,5,14
3582,10,5,9,16,8,14
3583,18,14,4,19,7,15
3584,21,7,5,2,4,20
3585,15,17,11,3,14,16
3586,10,6,17,22,14,24
3587,19,10,2,17,1,12
3588,8,13,24,5,17,20
3589,4,10,3,9,18,23
3590,16,15,24,14,23,21
3591,19,4,13,1,3,21
3592,12,23,1,13,6,8
3593,23,21,7,14,12,15
3594,1,5,18,24,16,20
3595,22,17,4,5,3,7
3596,4,7,23,11,10,17
3597,6,23,10,9,12,4
3598,15,22,12,11,18,1
3599,13,9,8,17,18,21
3600,14,15,5,6,2,22
3601,9,2,24,19,15,22
3602,17,3,24,1,6,10
3603,18,6,11,21,12,17
3604,16,2,24,10,8,9
3605,13,5,21,24,18,12
3606,13,24,18,12,6,5
3607,1,12,6,23,10,9
3608,14,17,21,4,9,22
3609,18,21,19,15,6,2
3610,15,12,23,18,4,7
3611,3,4,5,12,16,14
3612,17,13,7,5,24,21
3613,24,19,15,4,6,8
3614,1,19,7,11,2,24
3615,11,19,18,9,17,22
3616,4,2,12,22,8,18
3617,23,12,8,9,2,6
3618,6,5,21,4,15,18
3619,17,23,3,11,5,12
3620,15,17,8,4,19,14
3621,9,15,11,5,2,23
3622,4,18,5,24,9,19
3623,21,5,19,17,3,9
3624,9,7,24,19,5,12
3625,11,3,20,18,7,16
3626,18,4,16,12,11,17
3627,3,11,15,16,4,23
3628,19,14,20,1,11,5
3629,20,9,17,13,7,4
3630,6,5,10,4,7,21
3631,4,23,11,1,6,18
3632,20,23,9,12,13,4
3633,24,13,7,18,1,14
3634,18,19,1,9,8,11
3635,4,12,23,14,22,19
3636,23,9,3,21,7,20
3637,18,19,13,9,22,15
3638,15,3,22,4,24,21
3639,17,18,2,1,22,21
3640,21,12,2,14,11,1
3641,22,14,10,19,15,2
3642,18,11,10,1,15,13
3643,14,23,8,11,13,17
3644,19,6,11,18,24,3
3645,12,15,14,18,16,11
3646,10,16,1,19,5,12
3647,21,1,13,22,7,23
3648,6,5,12,10,15,11
3649,9,12,8,7,10,4
3650,11,12,7,4,8,16
3651,8,18,12,2,7,11
3652,2,13,6,8,24,16
3653,21,5,17,11,3,24
3654,10,1,22,12,21,8
3655,16,13,8,18,4,23
3656,18,16,22,6,3,20
3657,4,9,7,3,1,13
3658,11,12,21,17,19,14
3659,2,16,9,7,17,8
3660,5,1,14,13,7,6
3661,1,14,11,23,17,20
3662,14,16,24,3,23,18
3663,24,1,21,22,7,13
3664,13,12,11,6,3,24
3665,5,1,13,16,9,10
3666,21,11,18,4,8,20
3667,19,9,3,12,14,21
3668,17,1,11,21,8,3
3669,6,3,14,8,5,22
3670,18,21,23,7,4,10
3671,9,8,4,16,19,24
3672,2,1,3,12,5,18
3673,8,9,1,13,12,4
3674,15,8,16,10,13,5
3675,13,17,6,11,21,15
3676,6,2,21,11,16,8
3677,19,23,21,6,18,7
3678,14,20,22,24,23,1
3679,9,23,16,2,7,15
3680,9,15,1,12,7,14
3681,19,13,6,22,10,2
3682,2,1,9,16,10,6
3683,11,2,16,20,10,4
3684,12,7,14,18,13,19
3685,23,8,10,2,16,13
3686,4,3,15,16,8,19
3687,12,4,16,18,3,10
3688,24,6,11,1,23,10
3689,19,24,20,12,7,4
3690,6,21,24,23,15,5
3691,8,17,13,1,4,16
3692,15,4,24,22,7,3
3693,3,14,2,5,17,4
3694,2,17,13,3,10,7
3695,13,16,14,9,22,5
3696,18,5,16,6,23,2
3697,18,20,10,2,5,19
3698,14,19,8,12,11,10
3699,4,20,11,23,22,8
3700,6,21,20,14,2,22
3701,9,5,19,2,16,22
3702,6,11,19,20,1,5
3703,4,19,11,23,13,16
3704,23,24,4,21,8,20
3705,22,10,9,13,24,16
3706,23,24,15,4,16,17
3707,11,17,18,12,1,13
3708,24,5,23,1,19,7
3709,7,22,11,17,1,3
3710,9,24,22,16,19,8
3711,17,13,15,8,19,18
3712,13,24,16,21,23,8
3713,23,21,7,19,22,5
3714,14,20,9,13,11,15
3715,11,1,3,15,22,6
3716,11,19,8,22,7,24
3717,8,12,20,1,17,19
3718,16,6,8,13,21,14
3719,8,11,4,23,21,19
3720,12,18,20,22,11,8
3721,6,22,4,14,11,9
3722,17,20,11,1,8,10
3723,23,13,14,18,2,8
3724,8,23,1,13,11,18
3725,8,11,6,22,17,13
3726,9,7,1,20,24,23
3727,1,15,10,18,8,12
3728,13,6,23,17,12,1
3729,24,8,9,18,12,3
3730,14,5,10,2,3,6
3731,24,7,1,10,3,11
3732,11,13,14,7,23,5
3733,14,4,20,6,22,11
3734,2,22,9,24,12,21
3735,20,4,3,2,5,18
3736,1,20,3,14,24,10
3737,15,6,23,5,2,1
3738,15,16,22,23,19,7
3739,7,15,2,17,8,11
3740,17,18,24,4,23,14
3741,2,6,14,1,21,7
3742,20,18,8,7,3,24
3743,19,21,7,8,22,12
3744,10,20,3,24,8,15
3745,20,3,16,9,6,23
3746,10,1,21,23,16,20
3747,19,20,17,22,1,5
3748,9,15,6,22,7,21
3749,17,18,16,12,22,8
3750,22,7,8,16,3,13
3751,23,1,2,3,11,21
3752,23,7,5,16,6,3
3753,16,18,6,19,23,22
3754,21,3,9,20,7,10
3755,24,15,12,1,8,16
3756,15,24,2,8,5,9
3757,18,6,10,23,7,1
3758,1,19,6,10,15,12
3759,14,18,23,12,13,24
3760,24,15,8,14,22,17
3761,21,3,22,23,12,24
3762,17,3,23,1,12,19
3763,24,10,20,23,16,21
3764,24,10,4,9,6,20
3765,5,11,4,22,7,13
3766,7,2,18,16,23,14
3767,15,22,5,14,4,7
3768,6,17,7,11,23,12
3769,15,3,4,5,22,6
3770,13,10,14,22,20,2
3771,17,23,16,2,5,8
3772,18,17,23,3,22,2
3773,17,8,23,14,1,19
3774,16,17,7,22,12,8
3775,19,4,1,12,8,23
3776,15,8,21,1,10,7
3777,21,1,24,6,5,19
3778,8,17,18,4,19,9
3779,10,12,5,11,14,9
3780,24,12,14,13,21,19
3781,22,7,11,5,17,14
3782,9,4,19,15,13,17
3783,1,24,14,17,7,10
3784,13,18,24,11,6,4
3785,18,5,4,21,6,16
3786,2,1,3,16,17,6
3787,6,5,16,2,24,10
3788,2,18,7,19,16,6
3789,4,8,24,11,13,5
3790,2,21,9,1,13,19
3791,3,5,12,14,20,9
3792,7,6,10,2,24,8
3793,21,9,2,17,10,13
