,A,B,C,D,E,F,G,H,I,J,K,L
7725,2,15,19,7,4,5,10,24,22,3,21,31
7726,12,5,2,17,3,10,28,6,24,11,32,35
7727,11,20,31,5,18,16,9,25,12,29,13,17
7728,8,5,18,36,30,6,4,33,1,20,29,25
7729,17,4,21,1,6,34,30,29,5,28,3,12
7730,22,31,36,11,28,33,10,18,14,20,26,15
7731,29,21,35,27,16,19,10,24,32,17,23,22
7732,27,24,17,2,3,10,26,23,16,14,18,8
7733,28,16,26,15,25,12,29,34,33,10,35,36
7734,16,9,26,33,30,11,3,1,5,22,12,19
7735,32,9,2,14,17,15,28,26,11,1,24,12
7736,5,14,21,15,6,4,16,19,12,34,33,8
7737,15,22,29,3,36,27,16,7,32,24,26,19
7738,28,27,2,17,33,22,31,3,32,24,26,9
7739,10,8,28,2,16,6,9,25,20,21,31,1
7740,21,32,20,33,8,19,28,5,25,4,17,13
7741,23,32,25,12,20,13,10,28,34,17,9,26
7742,31,26,6,20,27,1,12,4,17,33,7,14
7743,9,21,10,33,34,22,11,14,4,13,8,18
7744,30,15,20,6,35,21,16,9,25,27,17,28
7745,11,21,35,26,5,7,32,15,1,2,30,17
7746,22,5,36,23,30,7,3,13,9,12,4,14
7747,23,2,11,21,1,24,9,29,33,26,20,8
7748,6,21,15,28,35,8,34,1,29,26,17,13
7749,18,5,20,25,35,27,16,1,32,24,10,4
7750,36,22,32,10,31,11,23,17,14,33,9,2
7751,3,13,9,1,18,32,36,33,5,22,26,17
7752,26,20,8,13,24,22,3,27,1,35,7,29
7753,35,2,18,24,7,17,33,12,8,27,14,16
7754,5,28,18,4,12,13,2,15,11,10,3,29
7755,11,2,34,20,3,4,30,32,19,16,23,8
7756,8,1,34,15,9,2,16,22,33,3,29,7
7757,26,27,33,3,36,14,4,15,9,28,8,25
7758,5,34,21,11,24,23,1,29,22,31,16,3
7759,34,14,12,2,26,33,19,11,15,22,1,35
7760,23,30,13,35,8,20,31,1,2,10,17,19
7761,1,30,2,28,18,20,35,15,27,7,34,16
7762,27,28,10,15,5,18,32,11,26,3,34,8
7763,32,33,19,21,6,24,16,7,26,5,13,23
7764,25,6,21,31,4,10,17,12,23,15,11,26
7765,33,23,17,10,14,24,6,27,25,18,3,19
7766,5,12,36,6,7,10,17,32,25,3,26,4
7767,10,23,26,30,36,6,34,7,29,16,24,1
7768,24,4,35,5,7,6,17,29,12,3,21,15
7769,6,7,30,9,28,16,20,27,22,14,15,34
7770,34,8,19,28,17,9,31,21,36,29,25,2
7771,6,14,22,28,3,11,25,8,30,34,21,13
7772,30,3,7,15,31,13,16,18,12,22,33,29
7773,26,10,25,15,34,36,12,35,7,4,18,11
7774,34,16,20,4,12,24,10,21,18,6,11,15
7775,35,22,11,13,8,17,9,21,31,33,26,14
7776,32,10,5,34,29,33,14,3,17,30,36,27
7777,28,2,12,18,9,32,29,25,5,27,15,21
7778,31,30,20,1,5,6,23,24,22,19,35,34
7779,8,26,15,10,14,18,16,20,9,29,3,35
7780,13,3,28,24,11,22,29,14,17,36,12,31
7781,23,29,4,11,1,26,30,15,20,6,10,28
7782,9,1,31,23,8,2,29,15,33,21,19,14
7783,16,26,25,1,33,6,13,20,29,36,28,11
7784,5,34,15,8,33,26,28,12,7,4,19,3
7785,21,36,19,2,5,29,20,28,34,25,8,12
7786,18,5,9,32,17,3,4,11,15,16,25,13
7787,14,35,24,2,1,22,16,5,20,26,21,31
7788,7,27,1,22,18,20,2,15,29,11,31,23
7789,21,12,1,6,11,24,36,9,2,8,7,25
7790,1,18,16,3,7,26,8,17,32,13,4,9
7791,20,2,8,26,21,12,5,28,31,22,18,4
7792,22,8,28,32,1,15,4,16,23,29,3,31
7793,4,14,33,30,3,22,15,28,18,6,35,31
7794,12,20,21,8,4,27,36,30,2,19,28,31
7795,28,19,10,35,20,24,17,6,9,7,3,29
7796,9,3,29,11,5,35,24,25,10,33,36,21
7797,25,10,16,27,7,26,30,4,9,32,23,11
7798,3,19,33,6,12,32,31,7,35,8,20,10
7799,7,29,16,22,28,5,2,36,25,24,18,23
7800,2,12,31,24,19,26,11,10,30,9,36,1
7801,12,1,9,27,29,3,2,20,35,6,15,8
7802,6,25,2,21,18,23,30,9,20,13,34,36
7803,13,19,34,22,14,16,15,35,25,6,1,36
7804,6,36,8,24,16,27,10,13,7,1,21,2
7805,24,15,34,21,6,26,4,23,17,32,11,29
7806,31,33,35,21,4,19,15,18,17,5,10,11
7807,24,27,13,26,6,28,2,10,23,36,18,14
7808,22,23,8,15,24,29,12,27,35,34,6,31
7809,14,22,18,24,27,29,5,4,36,17,33,11
7810,10,8,12,19,29,18,24,2,16,14,1,22
7811,30,20,9,23,36,1,11,4,34,26,29,2
7812,17,20,11,3,23,15,25,8,10,32,14,27
7813,2,10,4,34,35,33,28,24,20,17,3,36
7814,28,29,9,5,27,2,33,13,6,23,22,8
7815,11,3,18,33,30,28,9,29,32,23,8,34
7816,27,20,34,32,16,5,2,1,14,11,4,30
7817,30,2,21,14,13,9,10,36,7,22,8,4
7818,6,16,20,30,21,5,19,31,2,3,13,12
7819,13,17,31,19,29,11,20,32,4,28,33,5
7820,29,9,13,27,19,25,12,20,16,34,23,3
7821,5,9,6,7,3,21,10,15,26,1,28,14
7822,15,18,23,35,12,13,4,31,7,8,9,26
7823,14,11,34,4,12,2,26,7,13,15,27,18
7824,27,19,30,21,1,9,11,3,33,18,2,20
7825,1,8,10,18,17,14,32,13,25,31,16,2
7826,34,11,33,6,36,1,30,17,8,19,31,26
7827,21,28,30,13,5,1,27,20,4,22,9,34
7828,34,31,32,36,23,9,13,4,24,7,11,6
7829,32,13,21,34,7,12,29,9,23,30,33,11
7830,12,2,28,25,14,26,3,32,17,4,5,34
7831,14,1,23,2,10,33,22,13,18,25,35,30
7832,9,34,31,30,7,21,23,20,36,19,14,13
7833,29,4,28,5,21,7,35,18,15,31,33,10
7834,28,33,18,30,6,8,29,11,10,4,13,20
7835,29,7,8,28,21,31,16,6,15,33,1,5
7836,1,21,10,3,18,28,6,26,36,8,17,12
7837,28,15,33,24,36,6,4,3,16,7,34,31
7838,15,7,16,32,1,8,27,12,17,24,36,2
7839,21,28,36,27,11,15,12,14,23,19,8,31
7840,27,17,28,25,23,19,13,8,16,36,6,32
7841,33,29,23,25,27,5,36,35,24,26,15,2
7842,7,21,3,16,9,12,26,17,34,8,32,20
7843,19,31,32,12,23,15,28,17,3,35,20,21
7844,26,18,19,7,5,36,17,29,33,27,14,20
7845,35,24,16,26,25,21,2,33,15,28,10,20
7846,36,6,4,26,2,18,28,12,15,16,19,31
7847,23,5,17,33,31,22,9,19,29,24,30,14
7848,18,35,3,10,33,29,21,15,6,2,30,31
7849,3,28,9,27,36,34,15,1,25,8,24,18
7850,34,13,9,11,28,12,19,26,20,24,5,14
7851,30,12,18,2,25,23,36,9,26,10,34,4
7852,21,6,19,26,16,28,4,7,3,23,34,8
7853,26,15,25,6,30,9,33,19,16,20,21,10
7854,13,28,4,6,23,1,27,35,33,30,3,10
7855,13,28,36,33,26,21,25,10,34,30,27,24
7856,30,12,6,26,35,32,27,11,24,18,4,16
7857,1,5,20,6,29,16,2,22,15,10,30,25
7858,28,35,31,5,7,25,16,1,8,9,3,24
7859,17,28,34,12,16,23,19,24,31,36,30,18
7860,8,25,32,19,11,26,24,14,21,22,16,2
7861,26,11,19,33,21,7,4,29,34,16,5,15
7862,24,36,23,1,29,25,27,30,12,11,9,3
7863,29,35,3,18,2,31,20,11,8,10,14,15
7864,24,23,26,11,12,16,15,6,1,18,29,13
7865,3,16,12,32,20,35,11,1,9,10,27,23
7866,30,26,22,4,28,23,5,32,19,36,20,31
7867,28,34,17,11,2,16,4,12,6,5,20,30
7868,1,11,36,14,23,18,4,6,8,21,28,17
7869,6,20,32,30,26,8,28,10,19,34,1,2
7870,29,16,22,12,13,23,34,32,35,6,21,31
7871,11,32,12,9,16,23,33,18,5,15,8,19
7872,7,13,10,5,33,19,22,6,25,26,17,15
7873,24,27,22,21,36,19,9,7,20,33,6,11
7874,25,6,34,13,28,22,21,29,35,9,5,36
7875,3,35,14,1,17,19,23,11,21,9,2,33
7876,15,1,9,17,10,19,6,5,16,23,4,32
7877,7,12,20,8,15,3,2,1,25,33,36,23
7878,15,16,5,8,3,26,18,23,14,31,4,13
7879,5,16,29,8,1,17,6,9,18,3,28,11
7880,34,35,23,2,33,26,20,22,14,30,32,17
7881,31,16,36,20,8,34,25,33,29,30,9,15
7882,31,35,6,22,7,5,23,11,36,33,28,3
7883,29,36,32,6,14,12,28,18,22,13,1,3
7884,19,18,12,21,11,14,9,6,27,31,24,23
7885,20,29,22,23,1,33,26,18,2,6,19,13
7886,12,5,18,7,10,24,17,14,22,26,23,2
7887,15,12,23,36,13,24,9,6,21,5,27,26
7888,28,7,13,22,5,17,27,26,30,16,33,36
7889,18,11,20,29,13,27,35,34,17,30,8,26
7890,27,20,1,24,29,8,18,32,10,4,33,36
7891,12,20,26,24,29,1,27,19,18,32,7,6
7892,32,31,10,7,23,12,17,26,20,19,27,29
7893,2,14,19,16,5,12,35,10,21,26,28,7
7894,20,32,22,5,1,35,23,2,24,26,8,13
7895,18,17,2,11,35,30,33,24,31,34,4,16
7896,20,15,31,22,24,12,3,14,10,9,8,13
7897,25,12,11,31,4,26,20,8,18,14,33,34
7898,17,31,18,9,14,21,23,35,34,1,20,4
7899,21,25,31,13,17,11,7,36,35,24,27,30
7900,34,24,17,10,31,35,4,21,1,26,36,27
7901,27,34,12,29,11,21,1,4,32,28,15,2
7902,15,16,11,13,9,8,27,24,30,33,20,10
7903,21,16,6,22,28,25,34,31,12,35,32,4
7904,24,5,28,14,27,15,18,12,1,31,23,29
7905,11,15,36,34,22,24,32,18,8,3,7,30
7906,23,21,35,16,15,30,8,34,14,22,31,18
7907,14,26,8,16,20,27,1,9,32,36,15,4
7908,23,15,27,11,35,2,24,16,3,4,6,7
7909,10,28,25,9,4,35,1,13,18,23,6,7
7910,6,33,17,5,20,28,16,3,4,32,2,19
7911,10,35,8,3,29,21,22,18,34,24,13,2
7912,6,18,34,16,7,29,31,9,24,19,15,32
7913,16,11,35,2,34,24,26,6,4,30,20,28
7914,22,2,5,33,12,35,26,3,24,8,30,21
7915,20,9,21,13,15,7,18,5,22,2,10,29
7916,1,17,27,12,32,4,34,29,28,6,23,31
7917,1,4,15,16,6,29,11,26,8,32,3,23
7918,16,20,9,2,15,36,11,30,7,29,19,28
7919,15,9,4,30,12,31,5,25,14,13,34,6
7920,24,19,15,30,2,18,33,31,17,29,1,8
7921,23,34,4,7,19,9,14,2,22,33,29,30
7922,10,13,1,7,14,31,29,32,8,15,17,16
7923,2,20,32,33,8,21,17,16,34,35,31,23
7924,4,32,8,24,15,14,6,18,10,30,20,23
7925,9,4,30,27,33,25,23,10,16,7,19,5
7926,14,3,33,27,36,19,25,15,28,1,34,23
7927,34,7,23,36,32,27,20,3,11,15,24,14
7928,10,16,8,9,18,1,27,33,19,6,24,13
7929,6,3,14,19,12,16,10,5,7,24,2,8
7930,23,36,33,27,24,18,10,3,11,12,14,16
7931,11,3,8,22,26,34,30,14,28,15,24,19
7932,32,5,12,2,25,16,29,27,31,3,1,24
7933,1,12,35,34,21,7,14,33,19,13,32,31
7934,24,27,36,21,1,16,18,12,11,8,3,33
7935,27,23,18,13,15,1,5,22,36,14,9,7
7936,30,13,11,14,20,35,1,36,16,6,8,23
7937,13,7,31,26,2,24,14,12,25,33,8,10
7938,23,8,9,32,13,2,14,31,16,21,1,7
7939,30,21,6,25,4,13,10,24,15,33,36,11
7940,1,4,10,11,12,25,26,19,21,17,20,22
7941,9,26,12,20,27,33,35,31,3,8,21,5
7942,22,23,15,32,27,28,24,14,20,21,3,33
7943,11,12,4,20,28,34,23,25,22,6,5,8
7944,30,10,33,36,23,31,34,24,32,6,28,25
7945,34,33,28,25,32,1,11,16,6,27,29,35
7946,26,24,25,16,2,32,34,27,12,13,1,28
7947,12,16,13,33,30,14,24,9,28,4,34,29
7948,2,26,14,22,8,13,16,1,33,21,23,27
7949,33,22,35,5,12,36,3,13,11,17,2,18
7950,12,24,30,34,26,6,31,11,8,17,7,9
7951,32,31,15,24,11,8,17,35,21,19,18,5
7952,16,7,18,26,34,23,19,31,30,14,5,10
7953,7,33,32,8,28,13,11,30,6,12,31,27
7954,31,19,1,5,14,35,7,24,21,2,28,8
7955,21,2,6,16,12,25,33,19,26,34,29,22
7956,26,33,29,13,36,15,20,14,3,34,23,4
7957,36,35,33,19,3,11,5,24,34,1,28,21
7958,35,4,30,26,21,13,8,15,2,36,25,33
7959,35,5,8,29,33,13,9,36,28,12,22,23
7960,23,15,26,4,3,20,25,14,1,28,21,10
7961,10,17,28,6,36,24,34,22,8,3,9,30
7962,35,23,34,32,21,26,14,1,29,9,18,8
7963,22,23,36,33,27,3,15,13,9,29,14,17
7964,27,21,26,36,25,33,28,34,23,30,4,35
7965,3,35,26,6,18,31,24,5,21,22,13,8
7966,34,24,15,22,36,7,12,8,26,19,2,5
7967,3,16,21,28,23,7,5,15,20,10,6,17
7968,27,34,26,36,29,23,16,5,19,24,17,1
7969,28,8,22,14,32,12,2,5,11,25,9,10
7970,10,6,13,7,24,18,27,32,26,1,35,23
7971,12,30,26,24,15,35,28,32,11,7,31,18
7972,33,23,6,8,14,15,1,26,4,20,10,34
7973,33,6,23,3,22,32,5,7,28,15,35,34
7974,6,16,31,24,22,33,12,17,27,7,29,25
7975,5,18,20,1,11,6,29,3,36,31,23,21
7976,7,36,10,14,22,32,11,5,29,27,26,13
7977,26,16,8,36,6,23,28,11,21,20,7,14
7978,7,26,17,18,1,29,36,33,34,23,15,27
7979,16,22,31,20,36,29,4,9,26,15,34,7
7980,20,12,16,21,5,9,3,36,11,22,15,27
7981,16,18,27,26,10,14,24,6,1,4,8,21
7982,23,1,36,14,24,20,11,10,33,9,12,27
7983,26,1,14,3,27,29,16,32,18,23,36,10
7984,25,31,36,18,11,6,32,8,20,1,23,22
7985,20,28,19,6,30,33,36,7,26,1,32,11
7986,13,7,14,25,33,8,5,28,1,2,18,22
7987,11,33,4,16,32,26,28,14,24,34,25,6
7988,34,31,7,19,23,2,21,16,32,33,18,4
7989,16,7,8,25,17,10,24,21,30,13,32,22
7990,11,12,36,8,5,31,14,1,16,30,28,22
7991,10,22,25,3,15,2,31,35,13,26,7,8
7992,23,11,5,13,24,6,33,36,8,1,15,7
7993,8,5,13,7,22,32,18,30,6,9,33,31
7994,16,15,32,33,9,5,34,6,36,22,8,31
7995,27,8,3,11,31,28,36,16,12,21,10,26
7996,33,2,18,5,22,35,20,25,31,34,26,28
7997,12,22,16,35,6,19,14,26,10,34,7,8
7998,20,14,2,22,26,7,12,29,35,27,24,3
7999,6,31,20,10,25,28,33,7,5,8,16,19
8000,34,35,1,27,18,8,20,22,4,5,10,7
8001,29,32,16,33,30,31,15,6,3,1,14,22
8002,3,13,11,1,35,15,21,14,23,27,6,18
8003,16,3,18,12,13,33,30,1,8,26,15,11
8004,11,20,8,21,2,9,29,28,24,26,4,35
8005,19,13,11,15,33,4,22,1,8,10,9,25
8006,30,5,15,13,16,26,7,8,22,35,21,9
8007,34,7,26,3,33,24,28,22,20,10,8,31
8008,32,17,9,13,22,36,19,4,21,16,30,5
8009,1,2,31,13,21,22,5,11,29,3,7,32
8010,4,5,36,29,34,2,21,16,9,20,1,23
8011,12,32,30,11,24,29,26,3,21,10,17,9
8012,20,10,36,3,17,23,5,8,18,29,14,28
8013,22,23,35,25,26,7,2,3,13,5,17,10
8014,15,32,13,18,7,19,2,12,34,1,8,30
8015,33,13,12,36,26,16,27,8,25,11,19,28
8016,9,31,35,12,2,32,8,19,10,13,7,21
8017,35,32,19,5,17,22,13,20,6,16,27,2
8018,25,2,19,27,18,14,23,32,36,4,7,15
8019,12,35,11,34,24,16,19,15,31,14,8,30
8020,13,29,24,11,15,16,10,35,9,27,12,22
8021,19,16,35,36,18,4,14,15,3,26,27,29
8022,6,7,1,2,9,11,21,31,24,32,22,25
8023,8,26,13,19,24,3,5,6,31,23,18,7
8024,24,32,2,9,22,35,19,26,29,33,6,15
8025,5,29,16,36,25,13,28,31,1,10,3,33
8026,18,6,3,24,11,23,27,25,8,2,16,34
8027,12,27,15,3,23,1,2,14,19,24,5,25
8028,10,25,15,16,11,21,20,24,14,34,7,8
8029,25,14,23,5,2,21,4,19,22,18,9,34
8030,1,36,22,21,19,10,32,9,4,15,35,27
8031,20,23,31,25,34,16,35,13,1,7,6,27
8032,7,19,36,12,15,1,2,35,26,21,18,16
8033,29,5,28,22,2,9,35,32,17,15,3,6
8034,13,4,22,3,18,36,24,26,8,27,30,12
8035,34,17,6,11,22,24,8,15,5,14,35,28
8036,22,33,10,19,15,34,8,4,3,9,14,26
8037,21,28,31,13,7,34,3,26,4,1,29,20
8038,1,12,14,20,27,22,16,36,29,2,32,30
8039,23,11,15,14,2,4,34,7,33,8,24,18
8040,22,18,21,20,24,15,17,32,34,33,3,27
8041,20,4,36,27,6,23,33,25,30,21,28,32
8042,3,26,12,25,35,24,32,17,16,31,14,19
8043,7,32,29,9,6,17,13,23,26,19,36,28
8044,24,2,11,10,31,23,14,16,19,4,34,29
8045,4,30,5,20,10,22,12,35,31,21,32,9
8046,1,35,31,36,7,34,29,10,26,33,28,16
8047,21,36,12,31,1,25,13,27,33,17,5,16
8048,8,1,3,23,18,33,4,16,22,29,26,7
8049,15,20,16,9,30,3,22,31,2,27,35,1
8050,16,18,20,7,5,28,21,9,1,13,14,4
8051,8,7,20,30,4,6,32,16,27,3,17,11
8052,11,15,9,31,13,24,8,4,3,20,36,12
8053,30,34,24,11,18,16,25,10,27,15,31,2
8054,6,20,22,23,34,36,24,14,5,7,9,30
8055,26,14,6,11,25,5,1,17,10,8,21,27
8056,11,6,23,12,33,3,29,2,15,28,21,10
8057,14,13,22,6,34,19,7,11,29,5,10,23
8058,2,29,4,26,1,22,24,32,13,11,12,25
8059,23,28,9,7,32,27,25,11,17,34,3,20
8060,27,11,28,21,36,25,6,20,16,14,30,24
8061,11,35,17,13,1,25,10,14,16,24,12,22
8062,29,22,10,23,33,32,9,1,21,30,16,5
8063,26,23,35,30,13,24,7,36,4,3,25,5
8064,19,5,7,27,36,17,28,30,12,29,23,32
8065,25,10,13,22,18,6,29,19,9,3,1,23
8066,7,36,20,32,10,8,4,35,31,28,27,9
8067,17,2,30,5,4,12,26,24,9,10,15,11
8068,32,22,34,7,35,25,12,15,17,11,36,30
8069,4,24,5,10,7,17,25,35,16,11,31,15
8070,18,26,36,32,3,23,8,21,6,4,13,10
8071,18,28,5,11,6,8,13,20,2,26,17,33
8072,33,26,1,20,7,4,22,28,30,17,2,24
8073,34,32,21,18,20,24,30,17,2,28,15,29
8074,28,27,32,34,19,8,7,5,33,21,36,18
8075,3,22,1,20,7,23,5,6,16,17,35,29
8076,30,36,25,8,24,21,18,6,3,7,32,34
8077,30,24,16,10,36,14,29,5,15,3,20,9
8078,21,14,13,35,2,4,3,12,11,17,32,30
8079,19,5,13,3,28,31,22,33,25,9,20,18
8080,22,5,21,4,2,8,35,10,28,17,29,34
8081,27,21,20,18,15,23,32,2,3,25,7,35
8082,10,3,15,19,33,7,25,35,11,29,5,6
8083,34,7,25,27,31,3,1,21,4,14,16,9
8084,7,16,15,25,26,18,20,10,6,21,13,29
8085,3,16,4,18,10,30,8,1,7,35,34,2
8086,29,32,19,3,5,27,16,34,22,24,31,11
8087,20,21,19,1,7,16,25,28,5,14,24,22
8088,36,26,6,34,23,17,10,14,24,35,5,1
8089,30,20,4,24,32,19,18,21,26,34,23,5
8090,16,22,15,23,20,28,1,26,32,2,7,11
8091,16,33,12,15,32,9,28,18,21,36,22,4
8092,34,8,17,25,10,32,23,5,20,29,7,30
8093,5,2,35,30,12,31,9,28,21,22,4,36
8094,15,2,11,30,20,21,14,31,26,33,23,1
8095,12,3,24,14,34,27,25,15,33,28,8,16
8096,16,7,34,18,24,4,26,2,11,22,27,13
8097,13,4,25,22,34,20,15,2,1,32,36,7
8098,23,34,4,29,33,21,8,12,10,35,11,30
8099,32,28,27,14,33,5,26,30,35,1,29,24
8100,22,8,17,7,24,23,30,20,10,14,15,6
8101,26,7,9,19,23,33,35,21,13,15,20,4
8102,3,24,6,16,20,13,36,1,8,25,35,9
8103,35,13,7,18,6,4,5,17,33,23,11,32
8104,18,35,26,6,2,23,29,16,11,22,25,14
8105,2,34,28,21,18,15,33,25,6,27,7,13
8106,25,18,17,30,7,10,23,35,31,34,13,4
8107,17,25,36,8,26,20,18,32,12,28,2,24
8108,35,18,24,16,5,30,34,31,15,4,3,20
8109,9,32,2,34,7,33,25,3,8,19,15,4
8110,31,1,4,16,28,13,29,5,19,36,12,20
8111,11,9,32,25,7,17,26,30,13,8,28,6
8112,5,26,10,25,14,30,16,4,32,7,23,2
8113,6,16,21,29,4,15,17,27,24,8,26,35
8114,12,33,25,1,10,27,34,6,28,13,8,35
8115,5,4,21,32,30,29,2,33,12,6,27,15
8116,15,14,18,21,5,7,30,24,9,1,20,2
8117,29,11,7,5,8,1,26,33,15,23,17,20
8118,13,17,18,22,27,2,7,4,35,33,36,11
8119,7,15,17,8,13,33,35,28,10,31,6,4
8120,21,7,27,26,33,30,5,18,10,29,8,34
8121,4,7,9,12,26,10,24,16,2,32,28,21
8122,17,7,15,9,10,32,24,11,6,3,36,27
8123,34,19,32,3,5,31,22,13,7,36,28,30
8124,7,8,19,11,21,20,23,30,12,3,2,31
8125,23,5,3,2,15,35,25,18,7,22,34,10
8126,11,3,13,23,5,28,26,36,15,29,6,34
8127,10,4,24,31,7,9,29,28,30,26,14,33
8128,8,31,12,14,4,33,17,25,16,29,7,32
8129,17,24,35,8,11,25,9,28,4,31,20,19
8130,2,10,18,13,14,29,1,5,7,23,30,25
8131,32,29,21,33,11,35,9,22,7,10,17,31
8132,33,7,19,1,9,29,21,3,5,8,6,20
8133,20,23,36,26,11,13,17,31,34,4,28,18
8134,14,15,33,21,29,18,34,28,4,3,5,12
8135,3,2,12,31,6,8,36,30,14,23,7,5
8136,26,5,36,13,19,31,24,35,9,14,1,33
8137,28,6,16,5,30,22,25,4,10,1,11,33
8138,1,34,26,12,5,28,19,14,8,20,17,18
8139,35,5,17,23,14,3,28,22,6,7,18,1
8140,4,36,3,21,33,29,22,15,14,34,9,31
8141,35,24,33,6,15,19,30,14,22,34,18,7
8142,14,31,2,6,24,20,27,9,26,17,30,11
8143,26,36,14,35,27,22,6,29,4,5,13,8
8144,19,18,20,12,32,15,3,29,17,10,11,8
8145,7,1,2,10,12,11,22,20,36,24,5,29
8146,28,11,18,31,34,12,19,20,13,21,1,25
8147,9,4,22,11,27,12,30,16,18,17,1,36
8148,15,7,12,23,25,28,32,26,2,14,33,29
8149,19,22,13,16,10,32,27,21,24,33,18,8
8150,28,5,9,14,29,2,17,36,20,16,4,8
8151,14,36,16,1,27,26,23,6,17,30,28,8
8152,21,2,35,22,23,13,4,36,17,19,26,5
8153,16,4,6,11,26,24,32,7,1,17,5,8
8154,32,12,10,3,19,15,24,34,22,8,2,6
8155,2,1,4,21,17,27,23,7,28,30,20,10
8156,26,28,5,16,22,14,20,3,31,35,12,7
8157,30,22,36,13,23,24,17,18,29,32,21,1
8158,25,29,36,30,12,35,6,32,22,34,18,3
8159,27,35,3,6,5,16,17,19,28,15,2,31
8160,11,5,7,22,16,14,35,33,9,32,17,6
8161,29,36,34,18,26,15,13,7,11,10,27,5
8162,34,28,5,1,18,12,19,10,3,4,20,21
8163,29,25,22,33,4,26,23,11,16,12,3,6
8164,24,12,1,27,21,28,26,14,10,6,33,3
8165,5,3,6,13,8,11,15,9,23,24,25,14
8166,30,11,25,17,7,16,15,31,34,26,12,35
8167,9,2,25,7,32,6,36,23,16,21,35,27
8168,6,8,15,26,24,4,18,34,5,16,32,22
8169,11,3,32,33,4,25,34,16,21,2,14,17
8170,3,8,1,22,28,2,15,33,19,9,31,5
8171,26,5,10,22,14,23,33,30,15,19,13,9
8172,30,23,6,1,3,22,7,20,16,21,32,4
8173,17,7,22,18,3,21,33,4,8,13,1,32
8174,22,1,7,3,29,16,5,31,25,10,27,35
8175,22,25,30,20,29,26,11,8,35,32,31,6
8176,32,34,12,21,14,6,20,24,10,4,22,2
8177,2,4,14,19,20,23,31,35,10,26,15,5
8178,25,15,21,18,14,28,4,36,9,5,16,13
8179,18,31,16,23,12,30,27,34,4,7,3,13
8180,4,23,1,32,3,20,19,16,5,22,17,15
8181,15,1,27,34,25,7,4,35,33,9,22,11
8182,8,7,15,9,25,34,19,33,12,21,1,24
8183,22,31,20,34,32,19,16,25,35,6,12,33
8184,15,25,18,29,21,26,27,3,5,12,19,1
8185,4,13,5,34,8,14,24,10,27,25,6,23
8186,25,1,30,7,19,20,11,36,6,29,4,31
8187,24,11,4,19,20,8,23,14,18,7,1,30
8188,16,33,36,31,21,22,3,29,28,7,34,27
8189,6,1,18,30,32,35,13,20,23,33,2,24
8190,2,14,1,18,21,13,12,4,15,35,28,19
8191,25,26,17,30,13,9,23,29,3,20,32,21
8192,32,26,35,2,28,4,3,27,24,21,25,18
8193,28,14,6,2,29,24,22,36,25,12,3,8
8194,15,6,17,30,3,11,14,18,4,9,1,22
8195,1,11,6,5,30,36,8,18,35,14,28,2
8196,32,28,1,9,31,18,20,23,30,16,13,14
8197,19,20,26,21,23,34,6,4,28,2,7,11
8198,7,35,34,19,25,5,9,33,6,20,23,8
8199,10,31,3,25,14,29,23,20,34,13,8,30
8200,8,7,18,3,4,11,16,20,15,21,12,10
8201,16,7,26,12,2,5,23,17,36,28,35,1
8202,31,20,2,36,3,12,16,11,27,30,17,19
8203,6,33,8,36,19,4,18,1,5,26,24,12
8204,26,30,15,35,34,20,14,16,21,12,32,13
8205,33,26,32,29,13,36,18,4,5,11,27,25
8206,11,32,24,3,36,25,19,26,34,5,10,14
8207,27,36,8,12,21,3,5,16,7,30,25,18
8208,29,5,10,19,17,2,28,9,27,33,24,7
8209,17,25,23,15,1,30,28,10,11,34,3,32
8210,16,1,34,11,14,31,10,22,35,32,4,15
8211,36,4,26,14,6,9,15,22,19,24,29,1
8212,26,4,24,6,32,19,18,13,36,15,31,9
8213,19,28,23,7,17,25,12,29,27,34,31,5
8214,29,4,3,15,32,14,33,24,23,6,35,1
8215,28,6,18,2,32,26,29,10,35,3,19,33
8216,15,32,9,16,11,35,18,14,4,29,19,13
8217,15,6,16,26,20,36,34,10,12,18,35,1
8218,22,23,12,29,18,36,13,8,30,3,33,2
8219,32,31,6,19,18,12,27,1,11,3,10,4
8220,13,14,29,10,3,1,28,19,5,24,27,21
8221,8,24,27,3,1,9,7,28,13,29,35,32
8222,25,24,8,29,1,30,5,21,17,18,22,32
8223,36,34,22,33,24,3,31,27,5,20,18,7
8224,35,2,4,19,10,18,13,23,30,3,22,16
8225,36,19,34,1,29,11,22,18,33,13,21,25
8226,18,19,25,32,31,24,15,10,3,2,8,35
8227,12,13,6,3,17,24,28,14,33,36,35,7
8228,8,3,22,32,4,17,13,20,31,1,36,7
8229,7,3,22,14,35,15,6,9,36,27,20,25
8230,11,4,36,1,6,10,13,7,30,15,19,21
8231,1,21,32,23,30,3,16,5,18,6,25,24
8232,35,1,8,26,30,29,33,23,9,6,14,19
8233,2,24,36,25,19,16,28,27,5,20,7,22
8234,14,2,15,26,1,12,8,4,16,28,21,13
8235,12,6,11,20,15,28,36,25,29,8,35,34
8236,23,29,19,2,32,7,12,30,3,4,35,11
8237,16,7,27,6,9,19,8,24,17,26,1,3
8238,25,10,12,23,31,36,8,4,29,17,5,19
8239,33,35,20,13,29,30,8,15,23,9,24,34
8240,30,25,28,22,15,16,2,35,21,10,1,9
8241,11,25,10,28,34,9,33,19,15,16,1,31
